,words,count
0,interesting,43
1,luck,39
2,super,38
3,winner,23
5,tweetgood,20
7,benefits,19
8,gift,19
10,promo,17
11,supported,16
12,bovada,16
13,sportsbetting,16
14,winners,15
15,goods,14
16,glad,14
17,accepts,14
18,winning,13
19,superior,13
